id,display_name,official_domain,country,listing_url,description
growthbook,GrowthBook,growthbook.io,US,https://growthbook.io,"developer SaaS; developer_platform,analytics_bi"
unleash,Unleash,getunleash.io,NO,https://getunleash.io,developer SaaS; developer_platform
statsig,Statsig,statsig.com,US,https://statsig.com,"developer SaaS; developer_platform,analytics_bi"
devcycle,DevCycle,devcycle.com,CA,https://devcycle.com,developer SaaS; developer_platform
split,Split,split.io,US,https://split.io,developer SaaS; developer_platform
snyk,Snyk,snyk.io,US,https://snyk.io,"developer SaaS; security,developer_platform"
semgrep,Semgrep,semgrep.dev,US,https://semgrep.dev,"developer SaaS; security,developer_platform"
socket,Socket,socket.dev,US,https://socket.dev,"developer SaaS; security,developer_platform"
gitguardian,GitGuardian,gitguardian.com,FR,https://gitguardian.com,"developer SaaS; security,developer_platform"
codecov,Codecov,codecov.io,US,https://codecov.io,developer SaaS; developer_platform
sonarcloud,SonarCloud,sonarcloud.io,CH,https://sonarcloud.io,"developer SaaS; security,developer_platform"
browserstack,BrowserStack,browserstack.com,US,https://browserstack.com,developer SaaS; developer_platform
sauce-labs,Sauce Labs,saucelabs.com,US,https://saucelabs.com,developer SaaS; developer_platform
lambdatest,LambdaTest,lambdatest.com,US,https://lambdatest.com,developer SaaS; developer_platform
typeform,Typeform,typeform.com,ES,https://typeform.com,"developer SaaS; productivity_software,customer_engagement"
tally,Tally,tally.so,BE,https://tally.so,"developer SaaS; productivity_software,customer_engagement"
fillout,Fillout,fillout.com,US,https://fillout.com,"developer SaaS; productivity_software,customer_engagement"
formspree,Formspree,formspree.io,US,https://formspree.io,"developer SaaS; customer_engagement,developer_platform"
jotform,Jotform,jotform.com,US,https://jotform.com,"developer SaaS; productivity_software,customer_engagement"
basin,Basin,usebasin.com,US,https://usebasin.com,"developer SaaS; customer_engagement,developer_platform"
paperform,Paperform,paperform.co,AU,https://paperform.co,"developer SaaS; productivity_software,customer_engagement"
mapbox,Mapbox,mapbox.com,US,https://mapbox.com,"developer SaaS; data_platform,developer_platform"
here,HERE Technologies,here.com,NL,https://here.com,"developer SaaS; data_platform,developer_platform"
tomtom,TomTom,tomtom.com,NL,https://tomtom.com,"developer SaaS; data_platform,developer_platform"
geoapify,Geoapify,geoapify.com,DE,https://geoapify.com,"developer SaaS; data_platform,developer_platform"
locationiq,LocationIQ,locationiq.com,IN,https://locationiq.com,"developer SaaS; data_platform,developer_platform"
radar,Radar,radar.com,US,https://radar.com,"developer SaaS; data_platform,developer_platform"
maptiler,MapTiler,maptiler.com,CH,https://maptiler.com,"developer SaaS; data_platform,developer_platform"
medusa,Medusa,medusajs.com,DK,https://medusajs.com,"developer SaaS; ecommerce_platform,developer_platform"
saleor,Saleor,saleor.io,PL,https://saleor.io,"developer SaaS; ecommerce_platform,developer_platform"
commerce-layer,Commerce Layer,commercelayer.io,IT,https://commercelayer.io,"developer SaaS; ecommerce_platform,developer_platform"
taxjar,TaxJar,taxjar.com,US,https://taxjar.com,"developer SaaS; financial_infrastructure,ecommerce_platform"
avalara,Avalara,avalara.com,US,https://avalara.com,"developer SaaS; financial_infrastructure,ecommerce_platform"
intercom,Intercom,intercom.com,US,https://intercom.com,"developer SaaS; customer_support,customer_engagement"
crisp,Crisp,crisp.chat,FR,https://crisp.chat,"developer SaaS; customer_support,customer_engagement"
help-scout,Help Scout,helpscout.com,US,https://helpscout.com,"developer SaaS; customer_support,customer_engagement"
tawk-to,tawk.to,tawk.to,US,https://tawk.to,"developer SaaS; customer_support,customer_engagement"
gorgias,Gorgias,gorgias.com,US,https://gorgias.com,"developer SaaS; customer_support,customer_engagement"
front,Front,front.com,US,https://front.com,"developer SaaS; customer_support,collaboration_software"
chatwoot,Chatwoot,chatwoot.com,US,https://chatwoot.com,"developer SaaS; customer_support,customer_engagement"
rapidapi,RapidAPI,rapidapi.com,US,https://rapidapi.com,developer SaaS; developer_platform
apilayer,APILayer,apilayer.com,US,https://apilayer.com,developer SaaS; developer_platform
abstract-api,Abstract API,abstractapi.com,US,https://abstractapi.com,developer SaaS; developer_platform
ipinfo,IPinfo,ipinfo.io,US,https://ipinfo.io,"developer SaaS; data_platform,developer_platform"
ipdata,ipdata,ipdata.co,DE,https://ipdata.co,"developer SaaS; data_platform,developer_platform"
hunter,Hunter,hunter.io,FR,https://hunter.io,"developer SaaS; marketing_technology,developer_platform"
zerobounce,ZeroBounce,zerobounce.net,US,https://zerobounce.net,"developer SaaS; marketing_technology,developer_platform"
people-data-labs,People Data Labs,peopledatalabs.com,US,https://peopledatalabs.com,"developer SaaS; data_platform,developer_platform"
openweather,OpenWeather,openweathermap.org,GB,https://openweathermap.org,"developer SaaS; data_platform,developer_platform"
weatherapi,WeatherAPI,weatherapi.com,GB,https://weatherapi.com,"developer SaaS; data_platform,developer_platform"
serpapi,SerpApi,serpapi.com,US,https://serpapi.com,"developer SaaS; data_platform,developer_platform"
scrapingbee,ScrapingBee,scrapingbee.com,FR,https://scrapingbee.com,"developer SaaS; data_platform,developer_platform"
browserless,Browserless,browserless.io,US,https://browserless.io,developer SaaS; developer_platform
bright-data,Bright Data,brightdata.com,IL,https://brightdata.com,"developer SaaS; data_platform,developer_platform"
apify,Apify,apify.com,CZ,https://apify.com,"developer SaaS; data_platform,developer_platform"
firecrawl,Firecrawl,firecrawl.dev,US,https://firecrawl.dev,"developer SaaS; data_platform,ai_platform,developer_platform"
jina-ai,Jina AI,jina.ai,DE,https://jina.ai,"developer SaaS; ai_platform,data_platform"
exa,Exa,exa.ai,US,https://exa.ai,"developer SaaS; ai_platform,data_platform"
tavily,Tavily,tavily.com,US,https://tavily.com,"developer SaaS; ai_platform,data_platform"
unstructured,Unstructured,unstructured.io,US,https://unstructured.io,"developer SaaS; ai_platform,data_platform"
